"x","msg_reg","LF_agg"
0.41,"CPA",0.495010536559704
0.42,"CPA",0.430405836851345
0.43,"CPA",0.508394175352603
0.44,"CPA",0.493710361111044
0.45,"CPA",0.434282077097411
0.46,"CPA",0.554774641781828
0.47,"CPA",0.555687086700561
0.48,"CPA",0.560087746033748
0.49,"CPA",0.56334688306974
0.5,"CPA",0.556270568891973
0.51,"CPA",0.55628432015352
0.52,"CPA",0.555853988380568
0.53,"CPA",0.555213221035988
0.54,"CPA",0.559895750326811
0.55,"CPA",0.554207877542128
0.56,"CPA",0.554363796754953
0.57,"CPA",0.5586309316802
0.58,"CPA",0.46822209237051
0.59,"CPA",0.468733469097907
0.6,"CPA",0.467529490289329
0.61,"CPA",0.470692648924817
0.62,"CPA",0.469173399760174
0.63,"CPA",0.469649930382367
0.64,"CPA",0.467978847687875
0.65,"CPA",0.471655593728416
0.66,"CPA",0.469681512180765
0.67,"CPA",0.468213633934682
0.68,"CPA",0.470739316480944
0.69,"CPA",0.46687223385281
0.7,"CPA",0.574952382111956
0.71,"CPA",0.506179217757969
0.72,"CPA",0.496112744057679
0.73,"CPA",0.496491291644299
0.74,"CPA",0.477299137057634
0.75,"CPA",0.493477463852041
0.76,"CPA",0.482875532416312
0.77,"CPA",0.608423552084888
0.78,"CPA",0.548399857477227
0.79,"CPA",0.458269696466987
0.8,"CPA",0.478921772385955
0.81,"CPA",0.471835316773038
0.82,"CPA",0.492741334333286
0.83,"CPA",0.527943032300588
0.84,"CPA",0.472213117320981
0.85,"CPA",0.616447815151193
0.86,"CPA",0.640694024522079
0.87,"CPA",0.620060252743422
0.88,"CPA",0.460274707714567
0.89,"CPA",0.4576770898786
0.9,"CPA",0.466149050165181
0.91,"CPA",0.600816174037388
0.92,"CPA",0.480415782500821
0.93,"CPA",0.471143768015695
0.94,"CPA",0.549121343174365
0.95,"CPA",0.483671310421521
0.96,"CPA",0.514123346837463
0.97,"CPA",0.457452899818401
0.98,"CPA",0.433218186486879
0.99,"CPA",0.481368004224271
1,"CPA",0.481368004224271
0,"EEU",0.750892952239586
0.01,"EEU",0.750892952239586
0.02,"EEU",0.750892952239586
0.03,"EEU",0.746645182482595
0.04,"EEU",0.746645182482595
0.05,"EEU",0.746645182482595
0.06,"EEU",0.729603634744255
0.07,"EEU",0.753385656044115
0.08,"EEU",0.747403439312441
0.09,"EEU",0.75729698084799
0.1,"EEU",0.747280205180303
0.11,"EEU",0.731156442055263
0.12,"EEU",0.767251171145804
0.13,"EEU",0.735896127649777
0.14,"EEU",0.741155222179842
0.15,"EEU",0.762809871757819
0.16,"EEU",0.749173106172298
0.17,"EEU",0.727734412657329
0.18,"EEU",0.757120327141665
0.19,"EEU",0.754082410418102
0.2,"EEU",0.740229319674496
0.21,"EEU",0.746228960202136
0.22,"EEU",0.76479140767374
0.23,"EEU",0.729378245577245
0.24,"EEU",0.725996342378365
0.25,"EEU",0.754941145642646
0.26,"EEU",0.779974293665689
0.27,"EEU",0.772338347102199
0.28,"EEU",0.758874244107015
0.29,"EEU",0.755566911615231
0.3,"EEU",0.761196066920637
0.31,"EEU",0.75742594185865
0.32,"EEU",0.737525329587771
0.33,"EEU",0.755228064781
0.34,"EEU",0.76247602656117
0.35,"EEU",0.760277602105037
0.36,"EEU",0.752207031533465
0.37,"EEU",0.731888823494836
0.38,"EEU",0.730416713370267
0.39,"EEU",0.756305221522756
0.4,"EEU",0.729641963409538
0.41,"EEU",0.739505841224357
0.42,"EEU",0.73665767760065
0.43,"EEU",0.708220238085949
0.44,"EEU",0.720344917397076
0.45,"EEU",0.715081982269966
0.46,"EEU",0.733707217332292
0.47,"EEU",0.756047215941117
0.48,"EEU",0.742775531184901
0.49,"EEU",0.74385460232167
0.5,"EEU",0.733614835286967
0.51,"EEU",0.739565346402504
0.52,"EEU",0.7532861788332
0.53,"EEU",0.727606425635808
0.54,"EEU",0.744025381957029
0.55,"EEU",0.716967608175385
0.56,"EEU",0.727019663125246
0.57,"EEU",0.729525361628424
0.58,"EEU",0.732382549001691
0.59,"EEU",0.754347918402213
0.6,"EEU",0.749999426640945
0.61,"EEU",0.776839858831701
0.62,"EEU",0.772139806950124
0.63,"EEU",0.732819507860394
0.64,"EEU",0.696351110275494
0.65,"EEU",0.759980764922787
0.66,"EEU",0.762504650907549
0.67,"EEU",0.732352783124589
0.68,"EEU",0.732550583862168
0.69,"EEU",0.733669092830881
0.7,"EEU",0.71359922368344
0.71,"EEU",0.764886485915768
0.72,"EEU",0.761394340773124
0.73,"EEU",0.756190708826619
0.74,"EEU",0.720015881750662
0.75,"EEU",0.747592015691527
0.76,"EEU",0.715555158614452
0.77,"EEU",0.74772849361959
0.78,"EEU",0.745843004177631
0.79,"EEU",0.698372470446521
0.8,"EEU",0.69900330548246
0.81,"EEU",0.771442838663774
0.82,"EEU",0.764953119614331
0.83,"EEU",0.73782284368689
0.84,"EEU",0.731785776278058
0.85,"EEU",0.700808334684296
0.86,"EEU",0.743125431248762
0.87,"EEU",0.743561326582628
0.88,"EEU",0.718352424106542
0.89,"EEU",0.728861679897371
0.9,"EEU",0.725676618654883
0.91,"EEU",0.731334914992038
0.92,"EEU",0.737277513164825
0.93,"EEU",0.723432503259764
0.94,"EEU",0.762891972885953
0.95,"EEU",0.716527648781259
0.96,"EEU",0.780314135626188
0.97,"EEU",0.699005800156469
0.98,"EEU",0.698961383394918
0.99,"EEU",0.702048092029544
1,"EEU",0.702048092029544
0,"FSU",0.58224414395307
0.01,"FSU",0.58224414395307
0.02,"FSU",0.563555474582485
0.03,"FSU",0.652017586484129
0.04,"FSU",0.585498159247111
0.05,"FSU",0.588231809697736
0.06,"FSU",0.583327592572
0.07,"FSU",0.543964352702862
0.08,"FSU",0.581773827706783
0.09,"FSU",0.50719887025934
0.1,"FSU",0.588168124653872
0.11,"FSU",0.61859749961547
0.12,"FSU",0.579755536148471
0.13,"FSU",0.591337541313746
0.14,"FSU",0.602617939536676
0.15,"FSU",0.683499015576511
0.16,"FSU",0.548480738904549
0.17,"FSU",0.603773020380005
0.18,"FSU",0.543261337756444
0.19,"FSU",0.557936768666803
0.2,"FSU",0.685323614053979
0.21,"FSU",0.606146147589848
0.22,"FSU",0.537049218755262
0.23,"FSU",0.605630361391927
0.24,"FSU",0.551665546889186
0.25,"FSU",0.599716730395275
0.26,"FSU",0.581947379859387
0.27,"FSU",0.524959878015775
0.28,"FSU",0.57037222517811
0.29,"FSU",0.558893627887426
0.3,"FSU",0.526691382893838
0.31,"FSU",0.611609132715456
0.32,"FSU",0.557650921440344
0.33,"FSU",0.588237812613701
0.34,"FSU",0.572093711835171
0.35,"FSU",0.555591521397376
0.36,"FSU",0.569211844275855
0.37,"FSU",0.539280024255267
0.38,"FSU",0.574217644536771
0.39,"FSU",0.564434594000567
0.4,"FSU",0.572727256486868
0.41,"FSU",0.577356597057286
0.42,"FSU",0.582385568259277
0.43,"FSU",0.565209224663067
0.44,"FSU",0.5795289897089
0.45,"FSU",0.563502267970526
0.46,"FSU",0.575724409183022
0.47,"FSU",0.568835888689686
0.48,"FSU",0.568642311249531
0.49,"FSU",0.567922751506126
0.5,"FSU",0.581671007377059
0.51,"FSU",0.580600450523091
0.52,"FSU",0.565141741286502
0.53,"FSU",0.561338221537484
0.54,"FSU",0.575050617963605
0.55,"FSU",0.670160260090519
0.56,"FSU",0.676000792557265
0.57,"FSU",0.670838172265451
0.58,"FSU",0.670445988220677
0.59,"FSU",0.664071767571976
