"x","msg_reg","cost_agg"
0.22,"LAM",773.135184383743
0.23,"LAM",788.806872190557
0.24,"LAM",807.087224384522
0.25,"LAM",822.361679557358
0.26,"LAM",837.763930229209
0.27,"LAM",889.687487206823
0.28,"LAM",915.273670573036
0.29,"LAM",935.344551752654
0.3,"LAM",952.964353324303
0.31,"LAM",965.304369858492
0.32,"LAM",981.835084869546
0.33,"LAM",1008.82145705233
0.34,"LAM",1029.12485746869
0.35,"LAM",1056.37085293572
0.36,"LAM",1088.93904889177
0.37,"LAM",1115.8285957328
0.38,"LAM",1139.27390038929
0.39,"LAM",1158.85992619663
0.4,"LAM",1176.82293148073
0.41,"LAM",1202.17695521469
0.42,"LAM",1209.81301410765
0.43,"LAM",1256.98469797009
0.44,"LAM",1291.55186209629
0.45,"LAM",1314.09684287863
0.46,"LAM",1337.38447245428
0.47,"LAM",1355.07463855055
0.48,"LAM",1395.7832719802
0.49,"LAM",1458.79183322193
0.5,"LAM",1513.81342792631
0.51,"LAM",1554.78892253639
0.52,"LAM",1628.17535842661
0.53,"LAM",1666.6952063148
0.54,"LAM",1689.83260527745
0.55,"LAM",1729.50586511122
0.56,"LAM",1751.74406179505
0.57,"LAM",1792.5061758977
0.58,"LAM",1829.43728012384
0.59,"LAM",1875.16832964393
0.6,"LAM",1891.92516797626
0.61,"LAM",1978.83922857972
0.62,"LAM",2020.60323396463
0.63,"LAM",2097.13656869242
0.64,"LAM",2241.1770410513
0.65,"LAM",2382.06514683515
0.66,"LAM",2467.87705896726
0.67,"LAM",2529.96143733785
0.68,"LAM",2620.49899418387
0.69,"LAM",2762.76782024282
0.7,"LAM",2850.45093128625
0.71,"LAM",2983.1568923925
0.72,"LAM",3224.68957705
0.73,"LAM",3349.2475864072
0.74,"LAM",3484.8308490276
0.75,"LAM",3592.47364691384
0.76,"LAM",3871.08514028962
0.77,"LAM",4077.99666632479
0.78,"LAM",4182.10017683842
0.79,"LAM",4562.07013827109
0.8,"LAM",4947.34508203076
0.81,"LAM",5168.69160710839
0.82,"LAM",5763.50245140343
0.83,"LAM",6005.52806563781
0.84,"LAM",6398.29910420517
0.85,"LAM",6595.08585474993
0.86,"LAM",6934.68867875744
0.87,"LAM",7371.08862876986
0.88,"LAM",7806.69231143673
0.89,"LAM",8344.22462996234
0.9,"LAM",8953.15769569253
0.91,"LAM",9314.70686794031
0.92,"LAM",10187.8165002987
0.93,"LAM",10884.1762846525
0.94,"LAM",12365.3803252476
0.95,"LAM",14361.8440885471
0.96,"LAM",15385.2212222725
0.97,"LAM",17235.9522993385
0.98,"LAM",19588.8449394976
0.99,"LAM",21800.4240436502
1,"LAM",22750.3740569853
0,"MEA",601.922460118597
0.01,"MEA",601.922460118597
0.02,"MEA",601.922460118597
0.03,"MEA",601.922460118597
0.04,"MEA",696.144648198103
0.05,"MEA",868.791585698973
0.06,"MEA",868.791585698973
0.07,"MEA",905.046134384286
0.08,"MEA",918.444536443517
0.09,"MEA",956.027709002497
0.1,"MEA",990.806584081657
0.11,"MEA",1122.75189533993
0.12,"MEA",1208.23030770587
0.13,"MEA",1226.65487081584
0.14,"MEA",1227.31551252097
0.15,"MEA",1325.96266175126
0.16,"MEA",1413.46098536514
0.17,"MEA",1483.48779669828
0.18,"MEA",1518.32813679607
0.19,"MEA",1640.88069982827
0.2,"MEA",1700.41185792462
0.21,"MEA",1722.28643882809
0.22,"MEA",1751.16413616442
0.23,"MEA",1893.21805047343
0.24,"MEA",1904.62473772277
0.25,"MEA",1997.25772823687
0.26,"MEA",2086.45222625052
0.27,"MEA",2324.01543265693
0.28,"MEA",2327.78488134706
0.29,"MEA",2378.13324446465
0.3,"MEA",2454.28072779908
0.31,"MEA",2490.21108501799
0.32,"MEA",2527.6178190206
0.33,"MEA",2548.85967268069
0.34,"MEA",2697.73890718348
0.35,"MEA",2859.20298516821
0.36,"MEA",2915.56755943269
0.37,"MEA",3044.71935864558
0.38,"MEA",3122.71590928698
0.39,"MEA",3181.48433276827
0.4,"MEA",3231.20334502528
0.41,"MEA",3409.9041979037
0.42,"MEA",3641.14641515985
0.43,"MEA",3644.87208007684
0.44,"MEA",3675.62783900476
0.45,"MEA",3996.69093973961
0.46,"MEA",4007.26958125297
0.47,"MEA",4214.54355433474
0.48,"MEA",4288.93012649225
0.49,"MEA",4467.838086264
0.5,"MEA",4491.05010466168
0.51,"MEA",4616.76462749808
0.52,"MEA",4717.88841484065
0.53,"MEA",4848.50469567161
0.54,"MEA",5042.32312126462
0.55,"MEA",5066.89867129887
0.56,"MEA",5320.20851874067
0.57,"MEA",5329.64222770263
0.58,"MEA",5659.64702059426
0.59,"MEA",5790.92669440777
0.6,"MEA",5824.52100160481
0.61,"MEA",6054.5384170952
0.62,"MEA",6247.27464995458
0.63,"MEA",6308.4284735859
0.64,"MEA",6481.65286338623
0.65,"MEA",6641.50816712425
0.66,"MEA",6990.29591950721
0.67,"MEA",7423.9967716591
0.68,"MEA",7556.1957244076
0.69,"MEA",7702.46450195674
0.7,"MEA",7973.1559408149
0.71,"MEA",8046.74023186955
0.72,"MEA",8517.96031835156
0.73,"MEA",8570.35270933608
0.74,"MEA",9013.9326559542
0.75,"MEA",9067.40476866336
0.76,"MEA",9170.65370571113
0.77,"MEA",9548.48923600856
0.78,"MEA",9909.07317270652
0.79,"MEA",10184.3553586441
0.8,"MEA",10577.4019468095
0.81,"MEA",10906.8970809442
0.82,"MEA",10929.7107429975
0.83,"MEA",11258.9933134233
0.84,"MEA",12610.0600383383
0.85,"MEA",12631.3214735812
0.86,"MEA",13064.4011864382
0.87,"MEA",14018.4558728692
0.88,"MEA",14276.5976548339
0.89,"MEA",15108.3276905234
0.9,"MEA",16068.5399767814
0.91,"MEA",16379.2192544104
0.92,"MEA",17235.1018739152
0.93,"MEA",17777.7881201787
0.94,"MEA",18308.2694617447
0.95,"MEA",19739.902927227
0.96,"MEA",21725.9454112292
0.97,"MEA",24519.2788816942
0.98,"MEA",26107.3824587301
0.99,"MEA",28183.09182936
1,"MEA",28320.7372962697
0,"NAM",431.66
0.01,"NAM",431.66
0.02,"NAM",431.66
0.03,"NAM",431.66
0.04,"NAM",431.66
0.05,"NAM",431.66
0.06,"NAM",431.66
0.07,"NAM",431.66
0.08,"NAM",431.66
0.09,"NAM",431.66
0.1,"NAM",431.66
0.11,"NAM",431.66
0.12,"NAM",529.1
0.13,"NAM",529.1
0.14,"NAM",812.18
0.15,"NAM",1085.8
0.16,"NAM",1168.1
0.17,"NAM",1240.8
0.18,"NAM",1330.2
0.19,"NAM",1338.3
0.2,"NAM",1405.3
0.21,"NAM",1437.6
0.22,"NAM",1443.6
0.23,"NAM",1475.8
0.24,"NAM",1646.7
0.25,"NAM",1755.6
0.26,"NAM",1781.9
0.27,"NAM",1803
0.28,"NAM",1835
0.29,"NAM",1957.5
0.3,"NAM",1978
0.31,"NAM",2106.5
0.32,"NAM",2435.9
0.33,"NAM",2494.5
0.34,"NAM",2511.3
0.35,"NAM",2682.6
0.36,"NAM",2742
0.37,"NAM",2763.7
0.38,"NAM",2892.4
0.39,"NAM",3259.1
0.4,"NAM",3340.1
0.41,"NAM",3363.4
0.42,"NAM",3425.3
0.43,"NAM",3470.4
0.44,"NAM",3594.4
0.45,"NAM",3636
0.46,"NAM",3779
0.47,"NAM",3892.3
0.48,"NAM",4058.5
0.49,"NAM",4280.2
0.5,"NAM",4351.7
0.51,"NAM",4390.7
0.52,"NAM",4421.6
0.53,"NAM",4497
0.54,"NAM",4816.3
0.55,"NAM",4857.8
0.56,"NAM",4908.7
0.57,"NAM",5264.6
0.58,"NAM",5409.7
0.59,"NAM",5548
0.6,"NAM",5627.3
0.61,"NAM",5760.7
0.62,"NAM",5913.4
0.63,"NAM",5953.6
0.64,"NAM",6251.9
0.65,"NAM",6636.5
0.66,"NAM",6849.3
0.67,"NAM",7224.8
0.68,"NAM",7369.2
0.69,"NAM",7407.7
0.7,"NAM",7749.8
0.71,"NAM",7771.2
0.72,"NAM",7955.9
0.73,"NAM",8138.6
0.74,"NAM",8148.2
0.75,"NAM",8175.1
0.76,"NAM",8269.4
0.77,"NAM",9254.1
0.78,"NAM",9423.2
0.79,"NAM",9430.2
0.8,"NAM",9542.7
0.81,"NAM",10679
0.82,"NAM",10760
0.83,"NAM",12982
0.84,"NAM",13800
0.85,"NAM",13812
0.86,"NAM",14093
0.87,"NAM",14128
0.88,"NAM",14490
0.89,"NAM",15471
0.9,"NAM",16119
0.91,"NAM",16250
0.92,"NAM",17014
0.93,"NAM",17161
0.94,"NAM",20727
0.95,"NAM",22617
0.96,"NAM",23037
0.97,"NAM",23434
0.98,"NAM",25437
0.99,"NAM",25437
1,"NAM",25961
0,"PAO",1283.65312802694
0.01,"PAO",1283.65312802694
0.02,"PAO",1354.17853538537
0.03,"PAO",1429.01037130425
0.04,"PAO",1429.75430082563
0.05,"PAO",1452.43894374318
0.06,"PAO",1524.41802124814
0.07,"PAO",1541.55308743715
0.08,"PAO",1676.25731707692
0.09,"PAO",1715.78243323442
0.1,"PAO",1750.33542165711
0.11,"PAO",1863.56073430605
0.12,"PAO",1935.13839332114
0.13,"PAO",1950.11437677772
0.14,"PAO",2710.74250488154
0.15,"PAO",2968.68669423902
0.16,"PAO",3041.32572438923
0.17,"PAO",3137.02499254316
0.18,"PAO",3262.98690364539
0.19,"PAO",3332.85627927
0.2,"PAO",3383.19989668056
0.21,"PAO",3462.06650051506
0.22,"PAO",3549.74629664366
0.23,"PAO",3684.59704463338
0.24,"PAO",3833.00121400348
0.25,"PAO",3997.67282575606
0.26,"PAO",4019.44440030135
0.27,"PAO",4073.88615119694
0.28,"PAO",4160.40183330515
0.29,"PAO",4351.56285942713
0.3,"PAO",4485.05335434572
0.31,"PAO",4557.29206500515
0.32,"PAO",4656.49959748466
0.33,"PAO",4846.73755385065
0.34,"PAO",4952.79589643456
0.35,"PAO",5091.5173773466
0.36,"PAO",5202.50543134331
0.37,"PAO",5306.95415322643
0.38,"PAO",5333.52788364263
0.39,"PAO",5524.02999892376
0.4,"PAO",5607.47579127012
0.41,"PAO",5829.68621607909
0.42,"PAO",6003.32889715718
0.43,"PAO",6050.33972355899
0.44,"PAO",6146.38244737935
0.45,"PAO",6177.36466259744
0.46,"PAO",6415.03442413247
0.47,"PAO",6479.00358020326
0.48,"PAO",6835.80378007718
0.49,"PAO",6882.90161682631
0.5,"PAO",7181.89184083886
0.51,"PAO",7265.79260097477
0.52,"PAO",7400.96038806291
0.53,"PAO",7550.51770513984
0.54,"PAO",7672.15945941791
0.55,"PAO",7995.14373149244
0.56,"PAO",8295.5701954152
0.57,"PAO",8637.20646361526
0.58,"PAO",8750.87713842038
0.59,"PAO",8855.78198459433
0.6,"PAO",9012.39974631386
0.61,"PAO",9432.51426361833
0.62,"PAO",9729.81092541628
0.63,"PAO",10312.270137298
0.64,"PAO",10554.1800525822
0.65,"PAO",10841.8010516443
0.66,"PAO",11316.6959579342
0.67,"PAO",11974.4881382513
0.68,"PAO",12316.3485985763
0.69,"PAO",12472.253397088
0.7,"PAO",12804.3802032564
0.71,"PAO",12915.1923371412
0.72,"PAO",13028.7613320828
0.73,"PAO",13333.7186328623
0.74,"PAO",13585.6706292954
0.75,"PAO",13829.8207069387
0.76,"PAO",14084.0489691118
0.77,"PAO",14324.57766947
0.78,"PAO",14622.2202057164
0.79,"PAO",15149.6144739472
0.8,"PAO",15376.4200027675
0.81,"PAO",15672.1895665811
0.82,"PAO",15910.7269076429
0.83,"PAO",16419.6809120401
0.84,"PAO",16570.9416122138
0.85,"PAO",17347.978967113
0.86,"PAO",17782.854691656
0.87,"PAO",18313.4912286096
0.88,"PAO",18446.2115096631
0.89,"PAO",18711.1124183208
0.9,"PAO",18961.131729217
0.91,"PAO",19270.8556756507
0.92,"PAO",19976.3412432158
0.93,"PAO",20800.6043111268
0.94,"PAO",21022.3830814409
0.95,"PAO",21570.9692901401
0.96,"PAO",22543.0069525376
0.97,"PAO",23828.2363001799
0.98,"PAO",26042.199634077
0.99,"PAO",27280.7236420104
1,"PAO",28218.0266662567
0,"PAS",546.568529020767
0.01,"PAS",546.568529020767
0.02,"PAS",546.568529020767
0.03,"PAS",546.568529020767
0.04,"PAS",546.568529020767
0.05,"PAS",546.568529020767
0.06,"PAS",601.501339024499
0.07,"PAS",603.950176571301
0.08,"PAS",617.606306674634
0.09,"PAS",655.137488050187
0.1,"PAS",659.561533657709
0.11,"PAS",666.928383522006
0.12,"PAS",774.621192496803
0.13,"PAS",782.616946494532
0.14,"PAS",791.446495155332
0.15,"PAS",794.682802241726
0.16,"PAS",808.651309129215
0.17,"PAS",842.264369481943
0.18,"PAS",847.051736577942
0.19,"PAS",871.910304500589
0.2,"PAS",876.486903715216
0.21,"PAS",877.346706608343
0.22,"PAS",982.180404025247
0.23,"PAS",995.452269030189
0.24,"PAS",1018.0298593862
0.25,"PAS",1027.1646415509
0.26,"PAS",1029.22366308628
0.27,"PAS",1073.3166841657
0.28,"PAS",1095.61552430811
0.29,"PAS",1145.32407096475
0.3,"PAS",1199.21935716622
0.31,"PAS",1264.39388216104
0.32,"PAS",1302.91427923446
0.33,"PAS",1351.9186733401
0.34,"PAS",1400.932079317
0.35,"PAS",1436.73953362674
0.36,"PAS",1506.95061149191
0.37,"PAS",1555.17689382956
0.38,"PAS",1619.20850448147
0.39,"PAS",1684.40050320082
0.4,"PAS",1765.90606098688
0.41,"PAS",1836.91972382523
0.42,"PAS",1876.55721685874
0.43,"PAS",1942.31814512957
0.44,"PAS",2004.11194999015
